alpha,Scientific_name,english_name
LBH,Labeo dyocheilus,
LOE,Labeo rosae,
EOU,Labeo umbratus,Moggel
MOH,Labeo chrysophekadion,Black sharkminnow
RHI,Labeo spp,Rhinofishes nei
RNR,Cirrhinus cirrhosus,
MUC,Cirrhinus molitorella,Mud carp
CMG,Cirrhinus mrigala,Mrigal carp
RNE,Cirrhinus reba,Reba carp
RNM,Cirrhinus microlepis,Small scale mud carp
AVL,Algansea lacustris,Pátzcuaro chub
ASJ,Aspidoparia jaya,
ARR,Aspidoparia morar,
ABA,Albulichthys albuloides,
CTT,Catla catla,Catla
TCS,Catlocarpio siamensis,Giant barb
GUH,Chagunius chagunio,
HEU,Chela cachius,
HEO,Chela laubuca,Indian glass barb
ILA,Crossocheilus latius,
FCG,Ctenopharyngodon idellus,Grass carp(=White amur)
YCE,Cyclocheilichthys enoplos,
YCA,Cyclocheilichthys apogon,Beardless barb
YCD,Cyclocheilichthys dumerilii,
YCQ,Cyclocheilichthys armatus,
DAE,Danio aequipinnatus,Giant danio
DAD,Danio dangila,
DAV,Danio devario,Sind danio
DAI,Danio rerio,Zebra danio
DAF,Danio frankei,Leopard danio
ABI,Alburnoides bipunctatus,Schneider
GIN,Gila nigrescens,Chihuahua chub
GIA,Gila atraria,Utah chub
GIB,Gila bicolor,Tui chub
GIC,Gila cypha,Humpback chub
GIE,Gila elegans,Bonytail
GIR,Gila robusta,Roundtail chub
HMD,Hampala dispar,
HML,Hampala macrolepidota,Hampala barb
SVC,Hypophthalmichthys molitrix,Silver carp
BIC,Hypophthalmichthys nobilis,Bighead carp
HXP,Hypophthalmichthys spp,Carps nei
LUE,Labiobarbus leptocheilus,
LZF,Labiobarbus festivus,Signal barb
LZQ,Labiobarbus fasciatus,
LZW,Labiobarbus ocellatus,
ABT,Amblyrhynchichthys truncatus,
ANY,Anabarilius polylepis,
NMC,Notemigonus crysoleucas,Golden shiner
FCN,Osteochilus hasselti,Nilem carp
OSE,Osteochilus melanopleurus,
OSS,Osteochilus spilurus,
PGC,Pogonichthys macrolepidotus,Splittail
PRJ,Probarbus jullieni,Isok barb
PTI,Ptychocheilus grandis,Sacramento squawfish
RAD,Rasbora daniconius,Slender rasbora
RSG,Rasbora elanga,
RST,Rasbora heteromorpha,Harlequin rasbora
RSR,Rasbora rasbora,Gangetic scissortail rasbora
RSZ,Rasbora argyrotaenia,Silver rasbora
RSV,Rasbora einthovenii,Brilliant rasbora
RWS,Rasbora elegans,Twospot rasbora
RRZ,Rasbora tawarensis,
TYD,Thynnichthys sandkhol,
TYT,Thynnichthys thynnoides,
TWY,Thynnichthys vaillanti,
TOB,Tor tambroides,Thai mahseer
PTP,Tor putitora,Putitor mahseer
PTT,Tor tor,Tor barb
TOK,Tor khudree,
TZD,Tor douronensis,Semah mahseer
TZS,Tor soro,
VAC,Varicorhinus capoeta,Seven khramulya
BRL,Barilius barila,
BLA,Barilius barna,
BLO,Barilius bola,Trout barb
BRH,Barilius shacra,
BRJ,Barilius tileo,
BRV,Barilius vagra,
BRR,Barilius bakeri,
BLD,Barilius bendelisis,
BDA,Brachydanio acuticephala,
NTA,Notropis atherinoides,Emerald shiner
NTB,Notropis bairdi,Red River shiner
NTP,Notropis boops,Bigeye shiner
NTD,Notropis dorsalis,Bigmouth shiner
NTG,Notropis girardi,Arkansas River shiner
NTE,Notropis heterodon,Blackchin shiner
NTR,Notropis heterolepis,Blacknose shiner
NTU,Notropis hudsonius,Spottail shiner
NTL,Notropis longirostris,Longnose shiner
NTN,Notropis lutipinnis,Yellowfin shiner
NTS,Notropis nubilus,Ozark minnow
NTQ,Notropis rubellus,Rosyface shiner
NTI,Notropis rupestris,Bedrock shiner
NRS,Notropis signipinnis,Flagfin shiner
NRT,Notropis stramineus,Sand shiner
NRX,Notropis texanus,Weed shiner
NRV,Notropis volucellus,Mimic shiner
HME,Hemibarbus labeo,Barbel steed
ROG,Rohtee ogilbii,
ABC,Amblypharyngodon microlepis,
ABO,Amblypharyngodon mola,
ABL,Amblypharyngodon melettinus,Attentive carplet
ENA,Rastrineobola argentea,Silver cyprinid
AHS,Acanthobrama lissneri,
AHT,Acanthobrama terraesanctae,Kinneret bleak
PMP,Pimephales promelas,Fathead minnow
ARH,Acrossocheilus hexagonolepis,Copper mahseer
HSY,Hesperoleucus symmetricus,California roach
WAB,Parabramis pekinensis,White amur bream
SQK,Squaliobarbus curriculus,
LTL,Culter alburnus,
ZAP,Zacco platypus,Freshwater minnow
AZH,Anaecypris hispanica,
GRD,Garra dembeensis,
GRG,Garra ghorensis,
GRT,Garra gotyla,
GRK,Garra lamta,
GRU,Garra mullya,
GRR,Garra rufa,
GRI,Garra tibanica,
OPD,Opsariichthys bidens,
PDE,Pseudogobio esocinus,
RHQ,Rhinichthys atratulus,Blacknose dace
RHW,Rhinichthys cataractae,Longnose dace
RHV,Rhinichthys osculus,Speckled dace
NOB,Nocomis biguttatus,Hornyhead chub
NOH,Nocomis leptocephalus,Bluehead chub
NOI,Nocomis micropogon,River chub
YPA,Cyprinella alvarezdelvillari,
YPN,Cyprinella analostana,Satinfin shiner
YPC,Cyprinella callistia,Alabama shiner
YPM,Cyprinella camura,Bluntface shiner
YPL,Cyprinella lutrensis,Red shiner
YPP,Cyprinella proserpina,Proserpine shiner
YPI,Cyprinella spiloptera,Spotfin shiner
YPV,Cyprinella venusta,Blacktail shiner
ATL,Acheilognathus limbatus,Oily bitterling
ATN,Acheilognathus melanogaster,
ATR,Acheilognathus rhombeus,
ATT,Acheilognathus tabira,
AYH,Aphyocypris chinensis,Chinese bleak
HBP,Hybognathus placitus,Plains minnow
HEY,Chelaethiops bibie,
DID,Dionda diaboli,Devils River minnow
DIE,Dionda episcopa,Roundnose minnow
AUE,Aspiolucius esocinus,Pike asp
VIV,Vimba vimba,Vimba bream
VIM,Vimba melanops,Macedonian vimba
UEP,Couesius plumbeus,Lake chub
SMU,Semotilus atromaculatus,Creek chub
FSC,Pelecus cultratus,Sichel
SHP,Sarcocheilichthys nigripinnis,Rainbow gudgeon
TPW,Typhlogarra widdowsoni,Iraq blind barb
TYA,Tanichthys albonubes,White cloud mountain minnow
MPL,Campostoma anomalum,Central stoneroller
MPG,Campostoma oligolepis,Largescale stoneroller
AUH,Aulopyge huegelii,Dalmatian barbelgudgeon
OHM,Orthodon microlepidotus,Sacramento blackfish
LVE,Lavinia exilicauda,Hitch
PLT,Plagopterus argentissimus,Woundfin
IOP,Iotichthys phlegethontis,Least chub
PHK,Phenacobius catostomus,Riffle minnow
EVU,Evarra bustamantei,
ASU,Aspius aspius,Asp
NOU,Clinostomus elongatus,Redside dace
BNB,Balantiocheilos melanopterus,Tricolor sharkminnow
MOI,Moroco steindachneri,
MDE,Mandibularca resinus,
NUC,Chalcalburnus chalcoides,Danube bleak
AWT,Chalcalburnus tarichi,Tarek
AHA,Acanthorhodeus asmussii,Russian bitterling
PDP,Pseudorasbora parva,Stone moroko
BNE,Bangana behri,
BRN,Barbichthys nitidus,
BBR,Barbodes balleroides,
BBT,Barbodes platysoma,
FCH,Leptobarbus hoeveni,Hoven's carp
ARC,Acrocheilus alutaceus,Chiselmouth
HMU,Hemiculter leucisculus,Sharpbelly
BBC,Barboides gracilis,
BBV,Barbopsis devecchii,Somalian blind barb
TKT,Tanakia tanago,Tokyo bitterling
BWZ,Biwia zezera,
PDL,Pseudaspius leptocephalus,Redfin
BOI,Boraras brigittae,
CUG,Caecobarbus geertsii,Congo blind barb
YCB,Caecocypris basimi,
BKC,Mylopharyngodon piceus,Black carp
OEC,Capoeta capoeta,
OED,Capoeta damascina,
LXC,Luxilus chrysocephalus,Striped shiner
LXO,Luxilus cornutus,Common shiner
OGC,Oregonichthys crameri,Oregon chub
GNA,Gnathopogon caerulescens,
GNE,Gnathopogon elongatus,
WUB,Megalobrama amblycephala,Wuchang bream
MHC,Mylocheilus caurinus,Peamouth
LPV,Lepidomeda vittata,Little Colorado spinedace
DIL,Diptychus maculatus,Scaly osman
PTO,Ptychobarbus conirostris,
SZP,Schizopygopsis pylzovi,
TGC,Tiaroga cobitis,Loach minnow
PUI,Puntius binotatus,Spotted barb
PUH,Puntius amphibius,
PUU,Puntius arulius,Arulius barb
PUO,Puntius conchonius,Rosy barb
PUM,Puntius filamentosus,Blackspot barb
PUD,Puntius orphoides,
PUS,Puntius sarana,
PUR,Puntius sophore,Pool barb
PUT,Puntius tetrazona,Sumatra barb
PUW,Puntius ticto,Ticto barb
FZP,Puntius lateristriga,Spanner barb
FAB,Puntius spp,Asian barbs nei
OEK,Capoetobrama kuschakewitschi,Sharpray
OEN,Carassioides cantonensis,
PHH,Cephalakompsus pachycheilus,
HYA,Chanodichthys dabryi,Humpback
PTL,Coptostomabarbus bellcrossi,
UCS,Coreoleuciscus splendidus,
USC,Cosmochilus cardinalis,
YPW,Cyprinion watsoni,
DAT,Danionella translucida,
DII,Discherodontus ashmeadi,
DIT,Distoechodon tumirostris,
EIO,Eirmotus octozona,
ELM,Elopichthys bambusa,Yellowcheek
ENL,Engraulicypris sardella,
EPB,Epalzeorhynchos bicolor,Redtail sharkminnor
EQQ,Epalzeorhynchos kalopterus,Flying fox
ERA,Eremichthys acros,Desert dace
ERD,Erimystax dissimilis,Streamline chub
ESD,Esomus danricus,Flying barb
EUE,Eupallasella perenurus,Lake minnow
EXM,Exoglossum maxillingua,Cutlips minnow
GOR,Gobiobotia brevibarba,
GYW,Gymnocypris biswasi,
HMK,Hemigrammocapoeta kemali,
HMI,Hemigrammocypris lini,Garnet minnow
HMF,Hemitremia flammea,Flame chub
HNC,Henicorhynchus caudimaculatus,
HNZ,Henicorhynchus siamensis,Siamese mud carp
HRA,Horadandia atukorali,
PUK,Raiamas ansorgii,
HYC,Hypselobarbus curmuca,
PUJ,Hypselobarbus jerdoni,Jerdon's carp
HYL,Hypsibarbus lagleri,
YHX,Hypsibarbus spp,
IBP,Iberocypris palaciosi,
INA,Inlecypris auropurpureus,
IRT,Iranocypris typhlops,Iran cave barb
KAL,Kalimantania lawak,
LDG,Ladigesocypris ghigii,
LDT,Ladislavia taczanowskii,Tachanovsky's gudgeon
LWG,Lagowskiella czekanowskii,Czekanowski's minnow
LPT,Lepidopygopsis typus,
LPG,Leptocypris guineensis,
LPN,Leptocypris niloticus,
LPK,Leucalburnus kosswigi,
LUD,Leucaspius delineatus,Belica
LCO,Lobocheilos bo,
LCI,Longiculter siahi,
LCK,Luciosoma bleekeri,
LYR,Lythrurus roseipinnis,Cherryfin shiner
LYS,Lythrurus snelsoni,Ouachita shiner
MCV,Macrhybopsis aestivalis,Speckled chub
MCO,Macrochirichthys macrochirus,Long pectoral-fin minnow
MGM,Margariscus margarita,Pearl dace
MDF,Meda fulgida,Spikedace
MKE,Mekongina erythrospila,
MSB,Mesobola brevianalis,River sardine
MYK,Microphysogobio koreensis,
MCY,Microrasbora erythromicron,
MOC,Moapa coriacea,Moapa dace
MHO,Mylopharodon conocephalus,Hardhead
MSG,Mystacoleucus argenteus,
MZP,Mystacoleucus padangensis,
MJZ,Mystacoleucus marginatus,
NEL,Nematabramis alestes,
NEO,Neobola moeruensis,
NEI,Neolissochilus blanci,
OCE,Ochetobius elongatus,
ONL,Onychostoma alticorpus,Taiwan ku fish
OPL,Opsaridium microlepis,Lake salmon
OPQ,Opsopoeodus emiliae,Pugnose minnow
OHC,Oreichthys cosuatis,
OUH,Oreoleuciscus handlirschi,
OUP,Ospatulus palaemophagus,
OBL,Osteobrama belangeri,
OBC,Osteobrama cotio,
OXA,Oxygaster anomalura,
PHM,Pachychilon macedonicum,
PHC,Parachela cyanea,
PZI,Parachela oxygastroides,
PHQ,Paracrossochilus acerus,
PUB,Paralaubuca barroni,
PYT,Parapsilorhynchus tentaculatus,
PAJ,Pararasbora moltrechti,
PZV,Parazacco vuquangensis,
PUL,Parluciosoma labiosa,
PYB,Pectenocypris balaena,
PXA,Phoxinellus adspersus,
PXC,Phoxinus cumberlandensis,Blackside dace
PXE,Phoxinus eos,Northern redbelly dace
PXY,Phoxinus erythrogaster,Southern redbelly dace
PXN,Phoxinus neogaeus,Finescale dace
PXP,Phoxinus phoxinus,Eurasian minnow
PYI,Phreatichthys andruzzii,Somalian cavefish
PLI,Plagiognathops microlepis,Smallscale yellowfin
PLC,Platygobio gracilis,Flathead chub
PLX,Platypharodon extremus,
PTD,Poropuntius deauratus,
PCE,Procypris merus,
PBB,Prolabeo batesi,
PBM,Prolabeops melanhypoptera,
PDS,Pseudobarbus asper,Smallscale redfin
PDJ,Pseudolaubuca jouyi,
PDH,Pseudoperilampus hondae,
PDY,Pseudophoxinus stymphalicus,
PDN,Pseudopungtungia nigra,
PTJ,Ptychidio jordani,
PGH,Pungtungia herzi,
PUQ,Puntioplites bulu,
WPU,Puntioplites waandersi,
WPP,Puntioplites proctozystron,
RSF,Rasborichthys helfrichii,
RSL,Rasborinus lineatus,
REH,Rectoris posehensis,
RET,Relictus solitarius,Relict dace
RIL,Richardsonius balteatus,Redside shiner
ROI,Rohteichthys microlepis,
ROU,Romanogobio tenuicorpus,Amur whitefin gudgeon
SLB,Salmostoma bacaila,Large razorbelly minnow
SNV,Sanagia velifera,
SUB,Saurogobio dabryi,Chinese lizard gudgeon
SWE,Sawbwa resplendens,
SGB,Scaphognathops bandanensis,
SRT,Schismatorhynchos heterorhynchos,
SZB,Schizocypris brucei,
SZU,Schizothorax curvifrons,Sattar snowtrout
SZE,Schizothorax esocinus,
SZR,Schizothorax richardsonii,Snowtrout
SLG,Securicula gora,
SMN,Semilabeo notabilis,
SKG,Sikukia gudgeri,
SNM,Sinibrama macrops,
SND,Sinilabeo decorus,
SNT,Sinocyclocheilus anatirostris,
SBD,Spinibarbus denticulatus,
SIT,Spratellicypris palata,
SQB,Squalidus biwae,
SDG,Stypodon signifer,Stumptooth minnow
SMB,Systomus brevis,
TYO,Thryssocypris ornithostoma,
TPH,Tropidophoxinellus hellenicus,
TPN,Typhlobarbus nudiventris,
XEL,Xenobarbus loveridgei,
XEA,Xenocypris argentea,Yellowfin
ABK,Blicca bjoerkna,White bream
PTG,Barbonymus gonionotus,Silver barb
BBA,Barbonymus altus,Red tailed tinfoil
BFS,Barbonymus schwanenfeldii,Tinfoil barb
FCY,Cyprinidae,Cyprinids nei
GXM,Gyrinocheilus aymonieri,Siamese algae-eater
HPD,Acanthopsoides delphax,
TPC,Acantopsis choirorhynchos,Horseface loach
BOH,Botia hymenophysa,Tiger loach
BOD,Botia dario,Bengal loach
BWX,Botia spp,
BIA,Cobitis aurata,Golden spined loach
BIW,Cobitis biwae,
BIT,Cobitis taenia,
BIO,Cobitis granoei,
BIM,Cobitis maroccana,
LEG,Lepidocephalichthys guntea,Guntea loach
LEI,Lepidocephalichthys thermalis,
SOG,Somileptes gongota,
SAK,Sabanejewia balcanica,
PAD,Paramisgurnus dabryanus,
NAG,Pangio agma,
NWD,Niwaella delicata,
LEU,Leptobotia curta,
NUM,Neoeucirrhichthys maydelli,
LED,Lepidocephalus annandalei,
KUR,Misgurnus anguillicaudatus,Pond loach
MWT,Misgurnus fossilis,Weatherfish
IKC,Iksookimia choii,Choi's spiny loach
ENM,Enobarbichthys maculatus,
BMW,Chromobotia macracanthus,Clown loach
PSI,Psilorhynchus sucatio,
ABE,,
BTO,Acanthocobitis botia,Mottled loach
ANO,Annamia normani,
BTA,Balitora annamitica,
BTB,Barbatula barbatula,Stone loach
BTD,Barbucca diabolica,
BHS,Bhavania australis,
CML,Crossostoma lacustre,
ELL,Ellopostoma megalomycter,
GSB,Gastromyzon borneensis,
GLE,Glaniopsis denudata,
HMO,Hemimyzon formosanum,
HOI,Homaloptera bilineata,
HQX,Homaloptera spp,
HYE,Hypergastromyzon eubranchus,
INE,Indoreonectes evezardi,
LEH,Lefua echigonia,
MIU,Micronemacheilus cruciatus,
NEY,Nemacheilus abyssinicus,
NMD,Nemacheilus denisoni,
NEU,Neogastromyzon nieuwenhuisii,
NEJ,Neohomaloptera johorensis,
NEE,Neonoemacheilus labeosus,
ONO,Oreonectes anophthalmus,
OTP,Orthrias panthera,
PAK,Parhomaloptera microstoma,
PHV,Physoschistura brunneanus,
PYH,Protomyzon aphelocheilus,
SUH,Schistura balteata,
SRC,Sectoria atriceps,
SWL,Sewellia lineolata,
SZL,Sinogastromyzon puliensis,
SYD,Sphaerophysa dianchiensis,
SUI,Sundoreonectes tiomanensis,
TVJ,Travancoria jonesi,
TYC,Triplophysa choprai,
TGT,Troglocobitis starostini,
TUA,Tuberoschistura cambodgiensis,
VAI,Vaillantella cinnamomea,
YUA,Yunnanilus altus,
DYC,Diplomystes chilensis,Tollo
DYN,Diplomystes nahuelbutaensis,
AHV,Ancharius brevibarbis,
OSA,Ariopsis assimilis,Mayan sea catfish
BHN,Batrachocephalus mino,Beardless sea catfish
THI,Cathorops fuerthii,Congo sea catfish
TWS,Cathorops spixii,Madamango sea catfish
LSE,Cephalocassis melanochir,
AUD,Arius dussumieri,Blacktip sea catfish
AUJ,Arius jella,Blackfin sea catfish
AUI,Arius arius,Threadfin sea catfish
AUQ,Arius manillensis,
AUW,Arius sona,Sona sea catfish
AUX,Arius thalassinus,Giant catfish
AUT,Arius bilineatus,Bronze catfish
AUA,Arius leptaspis,Salmon catfish
AUN,Arius nasutus,Giant seacatfish
AUG,Arius gigas,Giant sea catfish
AUY,Arius platystomus,Flatmouth sea catfish
SMC,Arius heudelotii,Smoothmouth sea catfish
AUR,Arius latiscutatus,Rough-head sea catfish
AUV,Arius venosus,Veined catfish
CAO,Arius maculatus,Spotted catfish
AUC,Arius caelatus,Engraved catfish
ASG,Arius sagor,Sagor catfish
AUF,Arius felis,Hardhead sea catfish
AWP,Arius parkeri,Gillbacker sea catfish
AWY,Arius phrygiatus,Kukwari sea catfish
AXP,Arius proops,Crucifix sea catfish
AWX,Arius spp,
DUF,Cinetodus froggatti,Smallmouthed salmon catfish
CFD,Cochlefelis danielsi,Daniel's catfish
DYV,Doiichthys novaeguineae,Spoon-snouted catfish
GEG,Genidens genidens,Guri sea catfish
KTY,Ketengus typus,
NYY,Nedystoma dayi,Day's catfish
SDT,Sciadeops troschelii,Chili sea catfish
TYN,Tachysurus nenga,
TSY,Tetranesodon conorhynchus,Lorentz catfish
BEM,Bagre marinus,Gafftopsail sea catfish
BEI,Bagre panamensis,Chilhuil sea catfish
BEC,Bagre pinnimaculatus,Red sea catfish
BEB,Bagre bagre,Coco sea catfish
GYP,Galeichthys peruvianus,Peruvian sea catfish
GAT,Galeichthys feliceps,White barbel
HPB,Hemipimelodus bicolor,
NUB,Netuma barba,White sea catfish
OGM,Osteogeneiosus militaris,Soldier catfish
SDW,Selenaspis dowii,Brown sea catfish
SSZ,Selenaspis herzbergii,Pemecou sea catfish
CAX,Ariidae,Sea catfishes nei
NTM,Acanthodoras spinosissimus,Talking catfish
MXP,Agamyxis pectinifrons,Whitebarred catfish
LYH,Amblydoras hancockii,Blue-eye catfish
ADG,Anadoras grypus,
AZA,Anduzedoras arleoi,
ADV,Apuredoras rivasi,
OXK,Oxydoras kneri,
ATF,Astrodoras asterifrons,
ADM,Autanadoras milesi,
THK,Centrochir crocodili,
NRB,Centrodoras brachiatus,
DDG,Deltadoras guayoensis,
DPZ,Doraops zuloagai,
DRV,Doras brevis,
FCM,Franciscodoras marmoratus,
HSA,Hassar affinis,
HDM,Hemidoras morrisi,
HDB,Hildadoras bolivarensis,
HDZ,Hoplodoras ramirezi,
HDF,Hypodoras forficulatus,
LTC,Leptodoras acipenserinus,
LDD,Lithodoras dorsalis,
MGW,Megalodoras irwini,
NMB,Nemadoras bachi,
ODO,Opsodoras boulengeri,
OCG,Orinocodoras eigenmanni,
PYL,Physopyxis lyra,
PYS,Platydoras costatus,Raphael catfish
DPH,Pseudodoras holdeni,
DSU,Sachsdoras apurensis,
DSH,Scorpiodoras heckelii,
DTA,Trachydoras atripes,
DWM,Wertheimeria maculata,
DZG,Zathorax gonzalezi,
DPG,Pterodoras granulosus,Granulated catfish
DRD,Rhinodoras dorbignyi,
DRW,Rhynchodoras woodsi,
